[12-Aug-2021 13:40:15 America/New_York] PHP Notice:  Trying to access array offset on value of type null in /home/seamrmii/mtctests.com/test_modules.php on line 176
[12-Aug-2021 13:40:15 America/New_York] PHP Notice:  Undefined variable: numbers in /home/seamrmii/mtctests.com/test_modules.php on line 176
[12-Aug-2021 13:40:15 America/New_York] PHP Notice:  Undefined variable:  in /home/seamrmii/mtctests.com/test_modules.php on line 176
[12-Aug-2021 13:40:15 America/New_York] PHP Notice:  Trying to access array offset on value of type null in /home/seamrmii/mtctests.com/test_modules.php on line 176
[12-Aug-2021 14:11:15 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[12-Aug-2021 14:11:15 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[12-Aug-2021 14:11:15 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[13-Aug-2021 12:18:42 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[13-Aug-2021 12:18:42 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[13-Aug-2021 12:18:42 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[13-Aug-2021 13:49:01 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[13-Aug-2021 13:49:01 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[13-Aug-2021 13:49:01 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[13-Aug-2021 15:17:35 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[13-Aug-2021 15:17:35 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[13-Aug-2021 15:17:35 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[13-Aug-2021 20:58:45 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[13-Aug-2021 20:58:45 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[13-Aug-2021 20:58:45 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[14-Aug-2021 08:06:48 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[14-Aug-2021 08:06:48 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[14-Aug-2021 08:06:48 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[15-Aug-2021 16:49:52 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[15-Aug-2021 16:49:52 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[15-Aug-2021 16:49:52 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[15-Aug-2021 23:01:07 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
